Date,Level1,Level2,Level3,Level4
2019-01-01 00:00:00,73,16.4,21.1,9.29
2019-01-01 01:00:00,21,30.2,64.5,9.29
2019-01-01 02:00:00,75,31.3,44.1,10.95
2019-01-01 03:00:00,30,25.8,13.7,10.85
2019-01-01 04:00:00,19,20.7,71.4,10.27
2019-01-01 05:00:00,27,22.3,36.4,9.74
2019-01-01 06:00:00,31,33.6,47.1,9.92
2019-01-01 07:00:00,23,24.5,44.9,9.83
2019-01-01 08:00:00,16,15.6,62.9,9.0
2019-01-01 09:00:00,72,25.6,64.2,10.39
2019-01-01 10:00:00,10,17.9,49.4,10.14
2019-01-01 11:00:00,52,36.4,48.4,10.59
2019-01-01 12:00:00,31,23.5,62.2,9.01
2019-01-01 13:00:00,71,33.0,43.7,10.01
2019-01-01 14:00:00,45,30.8,38.9,10.64
2019-01-01 15:00:00,39,32.3,28.4,10.87
2019-01-01 16:00:00,35,27.1,52.6,10.81
2019-01-01 17:00:00,73,27.5,52.3,9.25
2019-01-01 18:00:00,34,28.7,27.2,10.02
2019-01-01 19:00:00,57,30.0,43.6,10.82
2019-01-01 20:00:00,71,35.4,43.9,10.68
2019-01-01 21:00:00,71,18.2,26.8,10.73
2019-01-01 22:00:00,57,35.0,22.2,9.11
2019-01-01 23:00:00,39,17.4,69.4,10.04
2019-01-02 00:00:00,15,14.2,22.6,10.12
2019-01-02 01:00:00,17,23.2,58.1,9.01
2019-01-02 02:00:00,29,14.5,23.0,9.03
2019-01-02 03:00:00,69,24.4,45.4,9.5
2019-01-02 04:00:00,50,34.2,72.7,9.28
2019-01-02 05:00:00,20,25.5,45.5,9.56
2019-01-02 06:00:00,41,36.0,38.6,9.12
2019-01-02 07:00:00,19,37.1,38.0,10.63
2019-01-02 08:00:00,60,25.0,43.4,9.97
2019-01-02 09:00:00,44,28.3,46.2,10.3
2019-01-02 10:00:00,15,15.8,49.8,9.89
2019-01-02 11:00:00,31,35.5,61.8,9.45
2019-01-02 12:00:00,12,28.3,48.5,9.88
2019-01-02 13:00:00,14,18.0,15.7,9.36
2019-01-02 14:00:00,30,31.4,78.3,9.92
2019-01-02 15:00:00,59,16.3,73.1,10.03
2019-01-02 16:00:00,19,36.7,18.8,9.08
2019-01-02 17:00:00,46,14.0,63.6,9.21
2019-01-02 18:00:00,45,29.9,66.0,10.59
2019-01-02 19:00:00,43,34.1,37.0,9.21
2019-01-02 20:00:00,78,15.6,48.9,10.85
2019-01-02 21:00:00,64,21.5,76.6,10.04
2019-01-02 22:00:00,38,32.5,63.6,10.13
2019-01-02 23:00:00,76,23.4,75.9,10.69
2019-01-03 00:00:00,74,14.2,43.1,10.01
2019-01-03 01:00:00,22,20.1,50.7,9.67
2019-01-03 02:00:00,43,34.5,34.0,10.5
2019-01-03 03:00:00,48,34.5,75.5,10.83
2019-01-03 04:00:00,14,18.4,41.4,9.77
2019-01-03 05:00:00,32,27.0,63.5,10.21
2019-01-03 06:00:00,38,15.5,69.8,9.5
2019-01-03 07:00:00,29,19.1,29.3,9.86
2019-01-03 08:00:00,48,18.6,30.6,9.6
2019-01-03 09:00:00,54,36.9,56.2,9.8
2019-01-03 10:00:00,49,35.3,39.2,10.14
2019-01-03 11:00:00,46,24.5,64.5,10.85
2019-01-03 12:00:00,54,36.3,31.0,9.43
2019-01-03 13:00:00,43,24.1,20.6,10.59
2019-01-03 14:00:00,32,31.9,74.6,9.58
2019-01-03 15:00:00,39,24.4,40.4,10.92
2019-01-03 16:00:00,60,34.6,35.2,10.58
2019-01-03 17:00:00,33,34.4,68.6,9.25
2019-01-03 18:00:00,15,21.6,30.6,9.22
2019-01-03 19:00:00,72,34.3,55.3,10.3
2019-01-03 20:00:00,54,26.8,46.1,9.8
2019-01-03 21:00:00,45,20.3,29.8,9.05
2019-01-03 22:00:00,21,36.3,75.0,10.14
2019-01-03 23:00:00,43,21.2,50.2,9.73
2019-01-04 00:00:00,64,27.0,42.6,9.37
2019-01-04 01:00:00,42,28.3,64.9,9.58
2019-01-04 02:00:00,68,35.6,53.4,9.66
2019-01-04 03:00:00,58,24.3,53.3,10.0
2019-01-04 04:00:00,46,24.7,20.3,10.4
2019-01-04 05:00:00,45,37.3,45.3,10.02
2019-01-04 06:00:00,37,35.8,76.3,10.71
2019-01-04 07:00:00,49,20.5,61.8,9.73
2019-01-04 08:00:00,10,23.5,25.7,10.67
2019-01-04 09:00:00,46,37.9,15.9,9.32
2019-01-04 10:00:00,47,22.9,15.2,10.48
2019-01-04 11:00:00,75,35.5,17.7,9.26
2019-01-04 12:00:00,18,30.6,14.1,10.6
2019-01-04 13:00:00,11,34.9,76.4,9.33
2019-01-04 14:00:00,14,29.3,76.6,10.17
2019-01-04 15:00:00,17,37.3,23.6,9.39
2019-01-04 16:00:00,48,22.3,78.0,9.88
2019-01-04 17:00:00,42,29.9,13.5,9.09
2019-01-04 18:00:00,19,26.6,22.2,10.61
2019-01-04 19:00:00,67,23.1,73.0,9.48
2019-01-04 20:00:00,54,14.4,41.9,9.45
2019-01-04 21:00:00,22,35.0,62.2,10.74
2019-01-04 22:00:00,65,22.7,19.4,10.63
